capital,educ_median,prestg80_median,rincome_median,wealth_median,class_median,educ_mean,prestg80_mean,rincome_mean,wealth_mean,class_mean
attsprts,14.0,46.0,11.0,,3.0,13.94847775175644,45.702308626974485,9.968404423380727,,2.543529411764706
visitart,15.0,47.0,12.0,,3.0,14.620374600274097,47.66274694261524,10.243313763861709,,2.658704639412035
makeart,13.0,44.0,11.0,,2.0,13.61763022323984,44.3613595706619,9.750421585160202,,2.4621125143513205
autorace,12.0,39.0,10.0,,2.0,12.709016393442623,40.178423236514526,9.638613861386139,,2.30327868852459
camping,14.0,44.0,11.0,,3.0,13.93815987933635,44.972006220839816,9.78989898989899,,2.4931921331316187
garden,13.0,44.0,11.0,,3.0,13.212435233160623,44.086114101184066,9.716323296354991,,2.5036496350364965
dance,15.0,49.0,12.0,,3.0,14.786975717439294,48.65068493150685,10.396284829721361,,2.6415929203539825
gomusic,16.0,49.0,12.0,,3.0,15.15439672801636,49.98422712933754,10.440353460972018,,2.74562306900103
huntfish,12.0,42.0,11.0,,2.0,13.032200357781754,42.55268022181146,9.682577565632458,,2.3716337522441653
perform,14.0,47.0,12.0,,3.0,14.355704697986576,46.334117647058825,9.807570977917981,,2.595936794582393
dosports,14.0,44.0,11.0,,3.0,14.056729699666295,44.97597254004577,9.938686131386861,,2.5089285714285716
seemovie,14.0,44.0,12.0,,3.0,13.85789129011133,44.99761255115962,10.074174581637267,,2.5050903119868635
usevcr,13.0,44.0,11.0,,2.0,13.620653319283456,43.96536796536797,9.700719424460432,,2.481442205726405
plymusic,14.0,46.0,11.0,,3.0,14.140845070422536,46.6178947368421,9.915328467153286,,2.5308392315470174
readfict,14.0,44.0,12.0,,3.0,13.855310415597742,45.27112299465241,10.130268199233717,,2.5141242937853105
popmusic,14.0,46.0,12.0,,3.0,14.12400354295837,45.769160583941606,10.353971962616823,,2.5266429840142095
drama,15.0,49.0,12.0,,3.0,14.61926192619262,48.17007434944238,10.395140664961637,,2.6838301716350497
relart,14.0,44.0,12.0,,3.0,13.858520900321544,44.579470198675494,9.7981220657277,,2.5209003215434085
volarts,14.0,46.0,12.0,,3.0,14.537777777777778,45.885844748858446,10.024390243902438,,2.591111111111111
bigband,13.0,46.0,11.0,,3.0,13.479553903345725,45.65758754863813,9.64179104477612,,2.6315789473684212
blugrass,12.0,40.0,10.0,,2.0,11.958333333333334,42.12230215827338,9.220930232558139,,2.3286713286713288
country,12.0,39.0,10.0,,2.0,11.963446475195822,40.24594594594595,9.173553719008265,,2.322834645669291
blues,14.0,42.0,11.0,,2.5,13.60909090909091,42.91509433962264,9.78523489932886,,2.459090909090909
musicals,13.0,46.0,11.0,,3.0,14.051063829787234,46.9647577092511,9.274647887323944,,2.6909871244635193
classicl,15.0,46.0,11.0,,3.0,14.657142857142857,48.33576642335766,9.75268817204301,,2.672661870503597
folk,13.0,46.0,11.5,,3.0,13.4,47.224,9.8625,,2.53125
gospel,12.0,40.0,10.0,,2.0,12.042372881355933,40.74545454545454,9.026315789473685,,2.346590909090909
jazz,14.0,45.0,11.0,,3.0,14.126482213438734,44.94331983805668,9.94186046511628,,2.5019762845849804
latin,13.0,42.0,11.0,,3.0,13.576470588235294,43.925925925925924,9.777777777777779,,2.5421686746987953
moodeasy,13.0,46.0,11.0,,3.0,13.219123505976096,45.0625,9.6125,,2.4898785425101213
newage,14.0,45.0,12.0,,2.0,14.4375,45.71111111111111,10.142857142857142,,2.5208333333333335
opera,16.0,46.0,12.0,,3.0,14.602739726027398,48.08695652173913,10.0,,2.647887323943662
rap,12.0,36.0,8.0,,3.0,12.522727272727273,37.970588235294116,7.52,,2.441860465116279
reggae,13.5,42.0,10.0,,2.0,13.702380952380953,43.74025974025974,9.21875,,2.3855421686746987
conrock,13.0,44.0,11.0,,2.0,13.553398058252426,44.12755102040816,9.269938650306749,,2.407766990291262
oldies,13.0,42.0,11.0,,2.0,13.456575682382134,43.155216284987276,9.535117056856187,,2.425
hvymetal,13.0,39.5,9.0,,2.0,12.75,39.82608695652174,7.804878048780488,,2.25
