OCC1990,EDUC_mean,PRESGL_mean,PRENT_mean,FTOTINC_mean,INCTOT_mean
"Chief executives and general administrators, public administration",6.598503118503118,60.6,,79910.81738045737,7606.028108108108
"Managers, marketing, advertising, and public relations",8.329018338727076,52.5,,209988.7448759439,7095.782092772384
"Administrators, education and related fields",10.521091811414392,78.3,,829432.5856079404,8984.900744416873
Postmasters and mail superintendents,5.572382144347101,58.1,,65565.41760534002,4678.523153942428
"Managers, properties and real estate",4.2243076923076925,38.3,,73134.83938461538,3128.66
Funeral directors,6.4777830864787385,52.2,,94915.31151457239,6845.05016722408
"Managers and administrators, n.e.c. ",5.754764349224183,50.28618445266645,,84524.38674621777,7263.33097262848
Accountants and auditors,7.811328519585469,56.7,,96877.32836993528,7811.82614388866
Other financial officers,6.81515373352855,48.8,,41247.8041727672,5233.898243045388
"Purchasing agents and buyers, farm products",4.250246305418719,40.9,,115126.80197044335,5129.2709359605915
"Buyers, wholesale and retail trade, except farm products",6.102709468414077,50.0,,53421.13458989839,7028.080842291268
"Purchasing agents and buyers, n.e.c.",6.627162629757786,47.9,,71451.12093425606,7013.243944636678
"Inspectors and compliance officers, except construction",5.768119164072921,40.6,,71978.38617163184,5390.10337927968
Architects,9.425505824647455,70.5,,85140.32679337829,9634.316370324954
Aerospace,8.959444647424187,71.1,,127386.94300328827,9149.342345633906
Metallurgical and materials,8.763581488933601,55.8,,100439.96076458752,8574.371227364185
Petroleum,8.920062695924765,61.6,,56844.799373040754,8666.277429467085
Chemical,9.794158553546593,67.3,,103011.2772369031,9003.261474269819
Civil,8.346207055568366,67.8,,153478.66843440165,7765.793751441089
Electrical and electronic,8.769167012018235,69.4,,90885.56900124326,8709.239535847493
Industrial,8.068711180124224,54.4,,65913.03299689441,8032.123447204969
Mechanical,8.27235148222511,62.3,,81862.71453879768,9649.548718554388
"Engineers, n.e.c.",8.331095712429624,60.4,,139947.51948895626,8570.690775227371
Statisticians,8.109646079111728,55.4,,127420.09923664122,5808.178348369188
"Mathematical scientists, n.e.c. ",9.875247524752476,65.0,,187926.64554455446,6350.9009900990095
Physicists and astronomers,10.203966005665722,73.8,,180189.51558073654,8407.252124645893
"Chemists, except biochemists",9.29770518916684,68.8,,178584.4444903866,8755.516642547032
Geologists and geodesists,10.085004775549189,67.2,,143817.61318051576,8898.958930276982
"Physical scientists, n.e.c.",8.616666666666667,68.1,,175806.8375,6990.291666666667
Agricultural and food scientists,8.242038216560509,55.8,,368238.3503184713,5395.67940552017
Biological and life scientists,9.965962441314554,67.7,,372171.3720657277,17142.933098591548
Forestry and conservation scientists,6.2019914651493595,53.9,,508340.87434803223,4146.439070649597
Physicians,10.796655572692588,81.13883432096762,,466430.0120951376,13442.261141326406
Dentists,10.491009681881051,73.6,,55124.01267865376,12211.98478561549
Veterinarians,10.126742712294043,59.7,,98608.17237008872,8737.256020278834
Optometrists,9.804123711340207,62.0,,56535.01260022909,8979.192439862543
"Health diagnosing practitioners, n.e.c. ",8.704646017699115,56.18384955752212,,41291.85508849558,6412.300884955752
Registered nurses,7.265744536267783,61.5,,380637.343782196,3780.2490848111534
Pharmacists,8.952428146679882,60.7,,164053.3314172448,7401.080277502478
Dietitians,7.181515007146261,52.1,,673622.9228203907,2381.6626965221535
"Therapists, n.e.c.",8.310386965376782,36.7,,341629.3678207739,3846.0183299389
"Earth, environmental, and marine science teachers",10.347222222222221,78.3,,703553.75,7410.694444444444
Biological science teachers,10.72183908045977,78.3,,813022.3218390804,6326.689655172414
Chemistry teachers,10.708920187793428,78.3,,665639.9225352113,6114.084507042254
Physics teachers,10.295019157088122,78.3,,851342.9042145594,6697.701149425287
Psychology teachers,10.789029535864978,78.3,,642191.3924050633,6964.177215189873
Economics teachers,10.824390243902439,78.3,,301748.043902439,7735.414634146341
