index,Refined,Unrefined
2,cultivated,uncultivated
3,cultured,uncultured
4,civilized,uncivilized
5,courteous,discourteous
6,proper,improper
7,polite,rude
8,cordial,uncordial
9,formal,informal
10,courtly,uncourtly
11,urbane,boorish
12,polished,unpolished
13,refined,unrefined
14,civility,incivility
15,civil,uncivilized
16,urbanity,boorishness
17,politesse,rudeness
18,edified,loutish
19,mannerly,unmannerly
20,polished,gruff
21,gracious,ungracious
22,obliging,unobliging
23,cultured,uncultured
24,genteel,ungeteel
25,mannered,unmannered
26,polite,blunt
